	E	S	O
CUMC_012	0.427	0.547	0.0259999999999998
CUMC_013	0.295	0.664	0.0409999999999999
CUMC_064	0.349	0.599	0.0519999999999999
CUMC_066	0.524	0.448	0.0279999999999999
CUMC_061	0.468	0.507	0.0249999999999999
CUMC_063	0.397	0.589	0.014
CUMC_067	0.373	0.596	0.0309999999999999
CUMC_068	0.3	0.647	0.0529999999999999
CUMC_071	0.337	0.605	0.0579999999999998
CUMC_070	0.538	0.413	0.0489999999999999
CUMC_072	0.318	0.639	0.0429999999999999
CUMC_073	0.318	0.631	0.0509999999999999
CUMC_074	0.644	0.295	0.0609999999999999
CUMC_069	0.275	0.675	0.0499999999999999
CUMC_076	0.568	0.382	0.0499999999999999
